Start, End, Origin, Origin Hub, Destination Hub, Destination, Load MT, First Mile KM, Mid Mile KM, Last Mile KM, Total Distance (KM), TTW (KG), WTT (KG), Trans-Shipment (KG), Total CO2e (KG)  
1-Apr-24,30-Apr-24,562123,562123,562111,173205,0.13,0,25.989,2383.111,2409.1,69.60904223,6.11264836,0.156,75.87769059
1-Apr-24,30-Apr-24,562123,562123,562111,560067,88.22,0,25.989,102.913,128.902,2178.13583218,326.1149342,105.864,2610.11476638
1-Apr-24,30-Apr-24,562123,562123,562111,421302,0.07,0,25.989,955.88,981.869,15.10280989,1.39320881,0.084,16.5800187
1-Apr-24,30-Apr-24,562123,562123,562111,462001,0.18,0,25.989,1489.141,1515.13,60.33688038,5.40628956,0.216,65.95916994
1-Apr-24,30-Apr-24,562123,562123,562111,751003,0.12,0,25.989,1485.566,1511.555,40.12849092,3.59604204,0.144,43.86853296
1-Apr-24,30-Apr-24,562123,562123,562111,600067,16.21,0,25.989,401.9,427.889,1485.85572247,152.00705423,19.452,1657.3147767
1-Apr-24,30-Apr-24,562123,562123,562111,641018,0.03,0,25.989,333.972,359.961,2.29341105,0.24260193,0.036,2.57201298
1-Apr-24,30-Apr-24,562123,562123,562111,577004,0.31,0,25.989,223.888,249.877,16.05434789,1.85849185,0.372,18.28483974
Error,,,,,,,,,,,,,,
1-Apr-24,30-Apr-24,562123,562123,562111,683511,16.95,0,25.989,506.682,532.671,1951.52257125,192.69134595,20.34,2164.5539172
1-Apr-24,30-Apr-24,562123,562123,562111,711303,12.09,0,25.989,1873.448,1899.437,5093.39197731,451.40160975,14.508,5559.30158706
1-Apr-24,30-Apr-24,562123,562123,562111,500078,79.89,0,25.989,613.965,639.954,11117.92915863,1071.05311422,95.868,12284.85027285
1-Apr-24,30-Apr-24,562123,562123,562111,452010,1.55,0,25.989,1307.326,1333.315,456.44141305,41.19970835,1.86,499.5011214
1-Apr-24,30-Apr-24,562123,562123,562111,302015,1.34,0,25.989,1864.921,1890.91,561.96867874,49.81418108,1.608,613.39085982
1-Apr-24,30-Apr-24,562123,562123,562111,180010,0.03,0,25.989,2700.876,2726.865,18.19900593,1.59173721,0.036,19.82674314
1-Apr-24,30-Apr-24,562123,562123,562111,226004,6.06,0,25.989,1863.458,1889.447,2539.45450794,225.1106079,7.272,2771.83711584
1-Apr-24,30-Apr-24,562123,562123,562111,141001,0.57,0,25.989,2427.807,2453.796,310.91566275,27.28566972,0.684,338.88533247
1-Apr-24,30-Apr-24,562123,562123,562111,625016,0.02,0,25.989,495.222,521.211,2.2513407,0.22300962,0.024,2.49835032
1-Apr-24,30-Apr-24,562123,562123,562111,571401,0.21,0,25.989,137.747,163.736,6.82345335,0.91527576,0.252,7.99072911
1-Apr-24,30-Apr-24,562123,562123,562111,575003,3.33,0,25.989,328.406,354.395,250.41683583,26.57665341,3.996,280.98948924
1-Apr-24,30-Apr-24,562123,562123,562111,400057,0.35,0,25.989,943.538,969.527,74.54643665,6.88396975,0.42,81.8504064
1-Apr-24,30-Apr-24,562123,562123,562111,570004,2.13,0,25.989,180.476,206.465,89.59617303,11.01275391,2.556,103.16492694
1-Apr-24,30-Apr-24,562123,562123,562111,524004,4.28,0,25.989,442.307,468.296,431.056241,43.42101088,5.136,479.61325188
1-Apr-24,30-Apr-24,562123,562123,562111,562123,4.3,0,25.989,26.011,52,32.0942153,9.6125296,5.16,46.8667449
1-Apr-24,30-Apr-24,562123,562123,562111,110085,2.27,0,25.989,2092.755,2118.744,1067.84074929,94.21319016,2.724,1164.77793945
1-Apr-24,30-Apr-24,562123,562123,562111,605013,0.13,0,25.989,381.019,407.008,11.30812319,1.16748112,0.156,12.63160431
1-Apr-24,30-Apr-24,562123,562123,562111,411005,0.01,0,25.989,826.899,852.888,1.86862683,0.17452344,0.012,2.05515027
1-Apr-24,30-Apr-24,562123,562123,562111,492004,1.12,0,25.989,1294.583,1320.572,326.61876688,29.4989408,1.344,357.46170768
1-Apr-24,30-Apr-24,562123,562123,562111,533101,4.61,0,25.989,870.679,896.668,906.64594783,84.28999604,5.532,996.46794387
1-Apr-24,30-Apr-24,562123,562123,562111,140417,0.5,0,25.989,2330.578,2356.567,261.8433895,23.0111225,0.6,285.454512
1-Apr-24,30-Apr-24,562123,562123,562111,577201,2.33,0,25.989,260.207,286.196,139.62216275,15.57650668,2.796,157.99466943
1-Apr-24,30-Apr-24,562123,562123,562111,421302,5.2,0,25.989,955.88,981.869,1121.9230204,103.4955116,6.24,1231.658532
1-Apr-24,30-Apr-24,562123,562123,562111,629004,0.37,0,25.989,727.999,753.988,60.94236071,5.76210028,0.444,67.14846099
1-Apr-24,30-Apr-24,562123,562123,562111,680004,0.98,0,25.989,456.774,482.763,101.87558934,10.21156962,1.176,113.26315896
1-Apr-24,30-Apr-24,562123,562123,562111,620003,0.01,0,25.989,396.283,422.272,0.90404699,0.0927064,0.012,1.00875339
1-Apr-24,30-Apr-24,562123,562123,562111,517501,2.53,0,25.989,305.316,331.305,177.17107023,19.08193551,3.036,199.28900574
1-Apr-24,30-Apr-24,562123,562123,562111,586101,1.22,0,25.989,481.128,507.117,133.48017438,13.2768879,1.464,148.22106228
1-Apr-24,30-Apr-24,562123,562123,562111,520004,8.51,0,25.989,719.718,745.707,1385.88872289,131.18935155,10.212,1527.29007444
1-Apr-24,30-Apr-24,562123,562123,562111,530016,2.4,0,25.989,1074.009,1099.998,581.3167752,53.1538416,2.88,637.3506168
