1-Apr-24	30-Apr-24	141001	141001	122413	143001	0.19
1-Apr-24	30-Apr-24	141001	141001	122413	151001	0.01
1-Apr-24	30-Apr-24	141001	141001	122413	144022	0.06
1-Apr-24	30-Apr-24	141001	141001	122413	180010	0.02
1-Apr-24	30-Apr-24	141001	141001	122413	136118	0.08
1-Apr-24	30-Apr-24	141001	141001	122413	141001	5.69
1-Apr-24	30-Apr-24	141001	141001	122413	160055	0.1
1-Apr-24	30-Apr-24	141001	141001	122413	147001	0.25
1-Apr-24	30-Apr-24	400057	400057	380001	380009	0.02
1-Apr-24	30-Apr-24	400057	400057	400072	444606	0.04
1-Apr-24	30-Apr-24	400057	400057	562111	560067	0.54
1-Apr-24	30-Apr-24	400057	400057	400072	421302	0.35
1-Apr-24	30-Apr-24	400057	400057	400072	403002	0.74
1-Apr-24	30-Apr-24	400057	400057	380001	380009	0.02
1-Apr-24	30-Apr-24	400057	400057	400072	411005	0.07
1-Apr-24	30-Apr-24	400057	400057	380001	360001	0.03
1-Apr-24	30-Apr-24	400057	400057	380001	395009	0.07
1-Apr-24	30-Apr-24	440019	440019	400072	421302	5.12
1-Apr-24	30-Apr-24	440019	440019	400072	462001	0.61
1-Apr-24	30-Apr-24	440019	440019	520001	522007	9.25
1-Apr-24	30-Apr-24	440019	440019	400072	711303	19
1-Apr-24	30-Apr-24	440019	440019	520001	500078	32.26
1-Apr-24	30-Apr-24	440019	440019	382475	452010	3.63
1-Apr-24	30-Apr-24	440019	440019	416811	380009	8.95
1-Apr-24	30-Apr-24	440019	440019	400072	400057	4.5
1-Apr-24	30-Apr-24	440019	440019	400072	440019	46.65
1-Apr-24	30-Apr-24	440019	440019	520001	524004	12.86
1-Apr-24	30-Apr-24	440019	440019	416811	411005	0.4
1-Apr-24	30-Apr-24	440019	440019	400072	492004	6.24
1-Apr-24	30-Apr-24	440019	440019	520001	533101	8.57
1-Apr-24	30-Apr-24	440019	440019	380001	360001	0.05
1-Apr-24	30-Apr-24	440019	440019	520001	520004	25.12
1-Apr-24	30-Apr-24	440019	440019	520001	530016	7.6
1-Apr-24	30-Apr-24	440019	440019	520001	534202	4.53
1-Apr-24	30-Apr-24	562123	562123	134003	173205	1.1
1-Apr-24	30-Apr-24	562123	562123	562111	560067	51.23
1-Apr-24	30-Apr-24	562123	562123	400072	421302	3.14
1-Apr-24	30-Apr-24	562123	562123	562111	462001	0.5
1-Apr-24	30-Apr-24	562123	562123	562111	600067	28.69
1-Apr-24	30-Apr-24	562123	562123	562111	641018	14.18
1-Apr-24	30-Apr-24	562123	562123	562111	577004	5.13
1-Apr-24	30-Apr-24	562123	562123	562111	248160	0.62
1-Apr-24	30-Apr-24	562123	562123	562111	683511	10.85
1-Apr-24	30-Apr-24	562123	562123	562111	638003	1.96
1-Apr-24	30-Apr-24	562123	562123	520001	522007	0.95
1-Apr-24	30-Apr-24	562123	562123	711302	711303	34.15
1-Apr-24	30-Apr-24	562123	562123	520001	500078	18.69
1-Apr-24	30-Apr-24	562123	562123	562111	452010	3.64
